"datetime","wtr_0","wtr_0.25","wtr_0.5","wtr_0.75","wtr_1","wtr_1.5","wtr_2","wtr_2.5","wtr_3","wtr_3.5","wtr_4","wtr_4.5","wtr_5","wtr_5.5","wtr_6","wtr_6.5","wtr_7","wtr_7.5","wtr_8","wtr_9","wtr_10","wtr_11","wtr_12","wtr_13","wtr_14","wtr_15","wtr_16.5","wtr_18"
2014-05-18 12:00:00,9.4375,8.27933333333333,9.31433333333333,9.28583333333333,9.26633333333333,9.20366666666667,8.73616666666667,8.27933333333333,8.01428333333333,7.81733333333333,7.57878333333333,7.44178333333333,7.40576666666667,7.09795,6.51888333333333,6.20985,6.0204,NA,5.37015,4.83075,4.55896666666667,4.50861666666667,NA,4.44745,4.39565,4.37538333333333,4.35475,4.9846
2014-05-18 13:00:00,9.49933333333333,8.32283333333333,9.40866666666667,9.3755,9.33483333333333,9.127,8.68383333333333,8.32283333333333,7.91001666666667,7.71871666666667,7.5451,7.51113333333333,7.34511666666667,7.04478333333333,6.7492,6.45255,6.2868,NA,5.39373333333333,4.675,4.51541666666667,4.47356666666667,NA,4.38346666666667,4.36706666666667,4.36276666666667,4.34595,4.44325
2014-05-18 14:00:00,9.92216666666667,8.37833333333333,9.7375,9.652,9.54483333333333,9.1735,8.72083333333333,8.37833333333333,7.98821666666667,7.85493333333333,7.71756666666667,7.6002,7.30831666666667,6.96586666666667,6.71103333333333,6.30851666666667,5.81113333333333,NA,5.198,4.71738333333333,4.52688333333333,4.47396666666667,NA,4.35825,4.34511666666667,4.31901666666667,4.32483333333333,4.38883333333333
2014-05-18 15:00:00,10.1375,8.42033333333333,9.9935,9.88283333333333,9.63116666666667,9.273,8.768,8.42033333333333,8.127,7.89238333333333,7.80053333333333,7.5391,7.16171666666667,6.76486666666667,6.1211,5.67998333333333,5.50833333333333,NA,5.11451666666667,4.82808333333333,4.55838333333333,4.47225,NA,4.34778333333333,4.32475,4.31213333333333,4.3234,4.37346666666667
2014-05-18 16:00:00,10.1191666666667,8.36716666666667,9.96316666666667,9.74716666666667,9.34216666666667,9.0975,8.81416666666667,8.36716666666667,8.01501666666667,7.8659,7.77001666666667,7.43301666666667,7.13016666666667,6.37375,5.6843,5.53208333333333,5.4021,NA,5.14296666666667,4.92233333333333,4.70803333333333,4.50673333333333,NA,4.38121666666667,4.3486,4.32808333333333,4.31586666666667,4.36893333333333
2014-05-18 17:00:00,9.95083333333333,8.42366666666667,9.71383333333333,9.421,9.1455,8.93166666666667,8.719,8.42366666666667,7.96276666666667,7.83293333333333,7.74115,7.41326666666667,7.1381,6.49155,6.06335,5.94456666666667,5.70191666666667,NA,5.26271666666667,5.14731666666667,4.98648333333333,4.6239,NA,4.42411666666667,4.38666666666667,4.36248333333333,4.31326666666667,4.36261666666667
2014-05-18 18:00:00,9.65166666666667,8.374,9.50933333333333,9.36333333333333,9.24833333333333,9.06283333333333,8.80516666666667,8.374,7.94756666666667,7.81256666666667,7.74396666666667,7.51173333333333,7.12141666666667,6.70018333333333,6.39443333333333,6.19165,5.91031666666667,NA,5.45566666666667,5.11921666666667,4.90911666666667,4.46778333333333,NA,4.39383333333333,4.38121666666667,4.36331666666667,4.32336666666667,4.35706666666667
2014-05-18 19:00:00,9.32683333333333,8.683,9.2745,9.254,9.23533333333333,9.11716666666667,8.87016666666667,8.683,8.10283333333333,7.94795,7.8898,7.68776666666667,7.06736666666667,6.72625,6.48746666666667,6.233,5.98813333333333,NA,5.44178333333333,5.01871666666667,4.69603333333333,4.46111666666667,NA,4.3986,4.37403333333333,4.34388333333333,4.31853333333333,4.35473333333333
2014-05-18 20:00:00,9.477,9.072,9.45416666666667,9.38616666666667,9.31366666666667,9.249,9.1815,9.072,8.73133333333333,8.44866666666667,8.25555,8.05843333333333,7.7274,7.12761666666667,6.7137,6.30086666666667,5.82723333333333,NA,5.0876,4.66715,4.50055,4.45086666666667,NA,4.40988333333333,4.3952,4.37823333333333,4.3251,4.35273333333333
2014-05-18 21:00:00,9.89466666666667,9.13683333333333,9.8665,9.6675,9.39983333333333,9.30283333333333,9.26583333333333,9.13683333333333,8.78683333333333,8.64833333333333,8.54366666666667,8.43866666666667,7.90853333333333,7.1931,6.87476666666667,6.24961666666667,5.94013333333333,NA,5.19896666666667,4.6463,4.5,4.44465,NA,4.41381666666667,4.3963,4.37621666666667,4.33696666666667,4.35148333333333
2014-05-18 22:00:00,9.78216666666667,8.981,9.7935,9.71716666666667,9.55633333333333,9.35966666666667,9.216,8.981,8.7855,8.68983333333333,8.51383333333333,7.79578333333333,7.3813,7.07731666666667,6.46375,6.01945,5.7582,NA,5.03858333333333,4.68408333333333,4.54168333333333,4.50183333333333,NA,4.4274,4.40725,4.3897,4.34856666666667,4.35243333333333
2014-05-18 23:00:00,9.44233333333333,9.15633333333333,9.45716666666667,9.43933333333333,9.41433333333333,9.37533333333333,9.28166666666667,9.15633333333333,9.0565,8.80516666666667,8.49983333333333,7.8314,7.46605,6.86418333333333,6.44956666666667,6.16365,5.85285,NA,5.07275,4.76868333333333,4.5609,4.49855,NA,4.42143333333333,4.3928,4.37788333333333,4.36036666666667,4.3555
2014-05-19 00:00:00,9.35233333333333,9.1465,9.351,9.3525,9.35,9.34566666666667,9.2995,9.1465,8.7495,8.48483333333333,8.2005,7.94861666666667,7.59035,7.20418333333333,6.84191666666667,6.49338333333333,6.11113333333333,NA,5.27136666666667,4.88491666666667,4.71998333333333,4.53641666666667,NA,4.38276666666667,4.36303333333333,4.34585,4.32258333333333,4.3544
